#,Data,Categoria,Descrição,Status,Prioridade,Responsável,Prazo,Observação
49,27/06/2026,KPI,Reunião com fornecedor de equipamento,concluido,alta,Ana Silva,22/08,pode ser reunião de 15min
50,05/07/2026,Indicador,Verificar histórico de checklist,progresso,Baixa,a definir,2026-08-13,urgente segundo o gerente
51,18/07/26,Instrução Trabalho,Ficou de trazer apresentação na próxima reunião,WIP,Baixa,Ana Silva,14/09/2026,"só depende de mim, sem justificativa"
52,27/05/2026,Produção,Definir responsável pela follow-up,Fechado,urgente,todos,2026-07-18,vinculado à pendência anterior
53,2026-04-22,Instrução Trabalho,Alinhamento com liderança sobre produção,A fazer,M,Osmar D.,,cliente reclamou disso semana passada
54,19-05-2026,Instrução Trabalho,Ficou de trazer meta na próxima reunião,TODO,Alta,Tiago Alves,27-06-2026,risco de multa se não fechar
55,07-05-2026,SOP,Revisar procedimento de meta conforme reunião,aberta,Baixa,Karen L.,27-06-2026,3 vezes que aparece esse mesmo problema
56,2026-04-22,Indicador,Follow-up com engenharia sobre segurança,concluido,urgente,todos,08/09,
57,24-06-2026,Gestão de pessoas,Análise da NC #199,aberta,Média,João P.,2026-08-25,conversamos na daily de segunda
58,2026-06-28,Target,Feedback pra equipe sobre auditoria,Aberto,urgente,Eduarda Santos,15/07,3 vezes que aparece esse mesmo problema
59,24/06/26,gente,Atualizar checklist de comunicado,andamento,crítica,Paula V.,2026-07-02,envolve 2 áreas — precisa alinhar
60,19/06/2026,QLD,Trocar relatório vencido na área,Novo,alta,Leo Batista,,esperando resposta do RH
61,28/06/26,EPI,Aguardando retorno de fornecedor sobre ferramenta,aberta,M,,,
62,27/05/26,RH,Reagendar reunião de apresentação,WIP,Média,Isabel R.,,esperando ok da diretoria
63,05/06/2026,Metas,Reagendar reunião de produção,aberta,Baixa,Henrique M.,19/06/2026,aparentemente resolvido mas não tem evidência
64,2026-05-06,Gestão de pessoas,Verificar histórico de inspeção,Done,M,Osmar D.,,movi pra próxima semana
65,13-07-2026,produtividade,Atualizar checklist de reunião,progresso,M,Henrique M.,25/08,risco de multa se não fechar
66,12/06/26,QLD,Feedback pra equipe sobre inspeção,A fazer,A,time,10/07,risco de multa se não fechar
67,2026-07-11,gente,Fechamento de briefing do mês anterior,Aberto,ALTA,Sabrina T.,,cliente reclamou disso semana passada
68,16/05/26,produtividade,Pendente aprovação da diretoria sobre relatório,Done,ALTA,Felipe Costa,,3 vezes que aparece esse mesmo problema
69,26-04-2026,manut.,Melhoria no fluxo de treinamento,andamento,urgente,Marcos T.,24-06-2026,revisar após mudança de escala
70,2026-06-01,Time,Padronizar registro de checklist,OK,M,Isabel R.,17-08-2026,conversamos na daily de segunda
71,29-06-2026,Qualidade,Padronizar registro de manutenção,Concluído,crítica,João P.,21/07/2026,
72,08/05/26,Objetivo,Feedback pra equipe sobre auditoria,OK,A,Isabel R.,30-06-2026,vinculado à pendência anterior
73,2026-06-08,RH/Gestão,Follow-up com diretoria sobre relatório,Encerrado,crítica,Nubia Costa,19-06-2026,"só depende de mim, sem justificativa"
74,30/06/26,Produção,Ver com fornecedor status de meta,Novo,ALTA,Gabi Ferreira,30/08/2026,esperando ok da diretoria
75,21-06-2026,SEG. TRABALHO,Feedback pra equipe sobre comunicado,Aberto,B,Gabi Ferreira,06-08-2026,pode ser reunião de 15min
76,29-04-2026,Objetivo,Reposição de estoque de crachá,Done,,Sabrina T.,15/08,
77,26-04-2026,Objetivo,Melhoria no fluxo de plano de ação,OK,Alta,Nubia Costa,,impacto direto no OEE do turno
78,2026-07-08,Manutenção,Padronizar registro de plano de ação,A fazer,A,Diego Lima,25/08/2026,movi pra próxima semana
79,2026-07-01,OEE,Auditoria interna de briefing,Encerrado,Alta,Bruno Alves,2026-07-09,não faz sentido no contexto atual
80,13-05-2026,Processo,Escalar problema de relatório pro gerente,Feito,Média,todos,,
81,2026-06-05,gente,Escalar problema de briefing pro gerente,Aberto,urgente,Gabi Ferreira,18/06,não faz sentido no contexto atual
82,15/05/2026,Corretiva,Consolidar dados de qualidade,Em andamento,A,João P.,2026-09-08,
83,20-04-2026,RH,,WIP,Média,Bruno Alves,05/09/2026,vinculado à pendência anterior
84,09-05-2026,produtividade,Reagendar reunião de produção,andamento,ALTA,,27/06/2026,
85,15/06/26,SEG. TRABALHO,Trocar crachá vencido na área,Em andamento,Alta,a definir,,"só depende de mim, sem justificativa"
86,27/06/2026,Seguranca,Preparar apresentação sobre follow-up,TODO,ALTA,Nubia Costa,31/07,"só depende de mim, sem justificativa"
87,05/05/2026,Instrução Trabalho,Renovar contrato de licença,andamento,ALTA,Sabrina T.,06/07/2026,movi pra próxima semana
88,02/07/26,manut.,Fechamento de meta do mês anterior,aberta,Alta,Osmar D.,2026-07-08,
89,28/06/26,Preventiva,Verificar histórico de briefing,OK,M,Osmar D.,2026-08-10,risco de multa se não fechar
90,17-06-2026,Seg,Revisar procedimento de follow-up conforme reunião,Encerrado,,Eduarda Santos,28/06/2026,3 vezes que aparece esse mesmo problema
91,2026-06-15,meta,Alinhamento com liderança sobre manutenção,Encerrado,urgente,Gabi Ferreira,26/07/2026,revisar após mudança de escala
92,2026-05-21,Objetivo,Comunicar mudança de processo pro time,andamento,Média,Bruno Alves,2026-06-30,auditoria externa pergunta sobre isso
93,01/06/26,produtividade,Trocar licença vencido na área,OK,ALTA,Tiago Alves,2026-08-16,não faz sentido no contexto atual
94,30/04/2026,,Reposição de estoque de ferramenta,progresso,urgente,Felipe Costa,06/09,
95,09/06/2026,IT,Consolidar dados de produção,WIP,ALTA,Vanessa L.,30/06/2026,cliente reclamou disso semana passada
96,2026-05-16,Procedimento,Reposição de estoque de contrato,A fazer,B,Gabi Ferreira,,não faz sentido no contexto atual
97,2026-05-20,SST,Ver com gerente status de checklist,Done,ALTA,Felipe Costa,2026-07-03,cliente reclamou disso semana passada
98,21-04-2026,RH,Análise da NC #933,Em andamento,alta,Marcos T.,12-08-2026,aparentemente resolvido mas não tem evidência
99,29/04/2026,SOP,Auditoria interna de apresentação,WIP,ALTA,time,,
100,2026-05-07,MTN,Ficou de trazer qualidade na próxima reunião,aberta,urgente,Carla Souza,2026-06-30,esperando ok da diretoria
101,2026-07-13,Seguranca,Atualizar checklist de segurança,progresso,urgente,time,2026-08-22,TI ainda não liberou
102,2026-05-30,KPI,Feedback pra equipe sobre planilha,aberta,ALTA,a definir,22-07-2026,impacto direto no OEE do turno
103,23/05/26,QLD,Treinamento de auditoria pra equipe,A fazer,crítica,Eduarda Santos,24/06,duplicado com outra linha?
104,24/06/2026,Corretiva,Preparar apresentação sobre inspeção,Fechado,B,Isabel R.,07/09/2026,TI ainda não liberou
105,10/07/2026,Produção,Documentar procedimento de segurança,Done,M,Carla Souza,01/08,envolve 2 áreas — precisa alinhar
106,10/07/2026,KPI,Fechamento de manutenção do mês anterior,Feito,Alta,Ana Silva,2026-08-16,revisar após mudança de escala
107,2026-07-13,manut.,Análise da NC #850,Aberto,B,?,31-08-2026,cliente reclamou disso semana passada
108,09/05/2026,Processo,Precisa validação técnica de equipamento,WIP,Baixa,Isabel R.,2026-07-15,não faz sentido no contexto atual
109,2026-05-24,SEG. TRABALHO,Consolidar dados de apresentação,Concluído,M,Osmar D.,23-06-2026,pode ser reunião de 15min
110,26/05/2026,Prod,Trocar planilha vencido na área,Em andamento,crítica,a definir,06-09-2026,esperando resposta do RH
111,26/06/2026,manut.,Padronizar registro de qualidade,aberta,urgente,,23-06-2026,esperando resposta do RH
112,01/07/2026,Qualidade,Documentar procedimento de briefing,WIP,M,Osmar D.,13/07,auditoria externa pergunta sobre isso
113,2026-06-13,Qualidade,Análise da NC #655,progresso,,Isabel R.,07/08/2026,pode ser reunião de 15min
114,11-06-2026,RH,,Novo,B,Sabrina T.,2026-06-18,pode ser reunião de 15min
115,09/07/26,Produção,Precisa validação técnica de EPI,Feito,Baixa,Sabrina T.,2026-08-17,3 vezes que aparece esse mesmo problema
116,2026-06-27,Gestão de pessoas,Reposição de estoque de lista,Concluído,M,todos,,impacto direto no OEE do turno
117,2026-05-05,gente,Documentar procedimento de segurança,concluido,crítica,João P.,,não faz sentido no contexto atual
118,07/05/2026,SOP,Treinamento de inspeção pra equipe,WIP,M,Marcos T.,,pode ser reunião de 15min
119,10/07/26,MTC,Precisa validação técnica de ferramenta,progresso,B,Karen L.,14/09,conversamos na daily de segunda
120,02/05/2026,,Análise da NC #565,andamento,Média,Eduarda Santos,30/06,
121,09/07/26,QLD,Ajuste no cronograma semanal,Fechado,,Bruno Alves,15/09/2026,esperando resposta do RH
122,2026-07-17,IT,Ver com fornecedor status de processo,Concluído,,Bruno Alves,07/09/2026,duplicado com outra linha?
123,02/06/26,QLD,Follow-up com RH sobre processo,Concluído,A,Isabel R.,06/07/2026,auditoria externa pergunta sobre isso
124,31/05/2026,Pessoas,Atualizar checklist de treinamento,Em andamento,B,Bruno Alves,28-07-2026,conversamos na daily de segunda
125,,,,,,,,
126,2026-04-24,Metas,Fechamento de plano de ação do mês anterior,Feito,urgente,time,2026-06-29,envolve 2 áreas — precisa alinhar
127,10/07/2026,seg.,Revisar procedimento de comunicado conforme reunião,WIP,Média,Karen L.,27/06/2026,vinculado à pendência anterior
128,29-05-2026,Equipe,Renovar contrato de relatório,progresso,Média,Marcos T.,18/08,TI ainda não liberou
129,13/07/2026,Equipe,Documentar procedimento de treinamento,Em andamento,M,Karen L.,06/09/2026,
130,27/04/2026,Corretiva,Reunião com fornecedor de material,Encerrado,crítica,Ricardo N.,13-09-2026,impacto direto no OEE do turno
131,26-05-2026,SOP,Alinhamento com liderança sobre briefing,Feito,A,Marcos T.,2026-07-12,esperando resposta do RH
132,22-06-2026,Produtividade,Ficou de trazer produção na próxima reunião,Aberto,Alta,Felipe Costa,2026-08-10,cliente reclamou disso semana passada
133,19-05-2026,seg.,Renovar contrato de suporte técnico,progresso,M,Vanessa L.,24-06-2026,impacto direto no OEE do turno
134,06/05/26,MTC,Reunião com fornecedor de documento,Concluído,M,a definir,23-07-2026,urgente segundo o gerente
135,25/05/2026,Produtividade,Trocar licença vencido na área,OK,Baixa,Sabrina T.,09-08-2026,esperando ok da diretoria
136,2026-06-26,PM,Comunicar mudança de comunicado pro time,Feito,B,Diego Lima,15/07/2026,impacto direto no OEE do turno
137,2026-05-02,proc.,Atualizar checklist de follow-up,Em andamento,crítica,Tiago Alves,2026-07-14,impacto direto no OEE do turno
138,07/06/2026,SOP,Auditoria interna de briefing,A fazer,crítica,,22/07,esperando ok da diretoria
139,2026-06-25,IT,Verificar histórico de documento,Aberto,urgente,Bruno Alves,30-08-2026,TI ainda não liberou
140,27/04/26,,Renovar contrato de ferramenta,progresso,urgente,Ana Silva,28/08,TI ainda não liberou
141,21-05-2026,RH,Consolidar dados de treinamento,A fazer,,Tiago Alves,28/07/2026,cliente reclamou disso semana passada
142,01/05/26,seg.,Precisa validação técnica de ferramenta,Done,ALTA,Marcos T.,12/08,conversamos na daily de segunda
143,24/05/26,seg.,Precisa validação técnica de ferramenta,Encerrado,Baixa,Carla Souza,,impacto direto no OEE do turno
144,24/05/2026,PM,Verificar histórico de follow-up,Feito,alta,Ana Silva,05/08,esperando ok da diretoria
145,11/05/2026,Produtividade,Follow-up com RH sobre processo,progresso,Média,Marcos T.,09-08-2026,duplicado com outra linha?
146,08-05-2026,proc.,Alinhamento com liderança sobre qualidade,Aberto,Média,Marcos T.,03-09-2026,duplicado com outra linha?
147,01/07/26,manut.,Ajuste no cronograma semanal,Em andamento,B,Sabrina T.,30/06/2026,esperando ok da diretoria
148,,,,,,,,
149,13/05/26,,Alinhamento com liderança sobre follow-up,Concluído,,Isabel R.,16-08-2026,esperando ok da diretoria
150,14/05/26,Objetivo,Precisa validação técnica de material,Novo,urgente,Tiago Alves,10/09/2026,3 vezes que aparece esse mesmo problema
151,13-05-2026,RH/Gestão,Atualizar checklist de apresentação,Fechado,A,Ana Silva,28/08,impacto direto no OEE do turno
152,06-05-2026,Manutenção,Documentar procedimento de processo,andamento,Baixa,,04/08/2026,auditoria externa pergunta sobre isso
153,2026-06-01,Gestão de pessoas,Auditoria interna de relatório,Feito,Alta,Diego Lima,27/06,esperando ok da diretoria
154,22/06/2026,proc.,Comunicar mudança de qualidade pro time,Em andamento,M,Ricardo N.,22/07/2026,não faz sentido no contexto atual
155,04/05/26,PM,Renovar contrato de EPI,A fazer,Média,Carla Souza,03/09,urgente segundo o gerente
156,19/05/2026,seg.,Melhoria no fluxo de segurança,Feito,A,Eduarda Santos,07/07/2026,3 vezes que aparece esse mesmo problema
157,12-07-2026,Preventiva,Trocar licença vencido na área,Em andamento,,time,26/07,esperando resposta do RH
158,04/05/26,Procedimento,Ver com gerente status de apresentação,A fazer,M,todos,18-06-2026,risco de multa se não fechar
159,09-05-2026,Produção,Precisa validação técnica de EPI,aberta,M,Paula V.,2026-07-23,3 vezes que aparece esse mesmo problema
160,2026-05-25,RH/Gestão,Auditoria interna de reunião,Em andamento,Média,a definir,2026-09-07,auditoria externa pergunta sobre isso
161,,,,,,,,
162,2026-06-06,MTN,Comunicar mudança de relatório pro time,Fechado,Alta,Diego Lima,21/06,conversamos na daily de segunda
163,01/06/2026,Preventiva,Verificar histórico de documento,aberta,crítica,Ana Silva,17/08/2026,
164,2026-07-05,Equipe,Consolidar dados de qualidade,progresso,,Bruno Alves,28/08/2026,cliente reclamou disso semana passada
165,20/04/26,MTC,Comunicar mudança de comunicado pro time,Feito,ALTA,João P.,11-08-2026,esperando resposta do RH
166,10/06/2026,RH/Gestão,Alinhamento com liderança sobre follow-up,Novo,Média,Osmar D.,,duplicado com outra linha?
167,,,,,,,,
168,24/04/2026,qual.,Melhoria no fluxo de apresentação,concluido,M,Vanessa L.,26/07/2026,urgente segundo o gerente
169,13-05-2026,Time,Renovar contrato de equipamento,Novo,A,Diego Lima,03/09,auditoria externa pergunta sobre isso
170,30/06/2026,,Preparar apresentação sobre produção,aberta,Média,,21/06,esperando resposta do RH
171,21/06/2026,Qualidade,Trocar EPI vencido na área,andamento,B,Tiago Alves,17/08,
172,2026-06-10,,Follow-up com engenharia sobre planilha,Novo,alta,Eduarda Santos,09/08/2026,duplicado com outra linha?
173,2026-05-24,IT,Aguardando retorno de fornecedor sobre lista,Novo,A,Felipe Costa,2026-08-25,revisar após mudança de escala
174,07/05/26,manut.,Melhoria no fluxo de plano de ação,Novo,B,,2026-08-06,auditoria externa pergunta sobre isso
175,15-06-2026,Gestão de pessoas,Definir responsável pela manutenção,Feito,crítica,Bruno Alves,22-06-2026,não faz sentido no contexto atual
176,01/05/2026,produtividade,Precisa validação técnica de crachá,concluido,B,Osmar D.,05-08-2026,movi pra próxima semana
177,14/05/2026,Indicador,Fechamento de planilha do mês anterior,aberta,,Carla Souza,10-08-2026,conversamos na daily de segunda
178,06/07/26,qual.,Treinamento de comunicado pra equipe,concluido,ALTA,Sabrina T.,09/08,urgente segundo o gerente
179,21-06-2026,meta,Aguardando retorno de fornecedor sobre certificado,Done,M,Ricardo N.,07/09/2026,
180,2026-05-25,Qualidade,Preparar apresentação sobre comunicado,progresso,A,Diego Lima,2026-08-19,revisar após mudança de escala
181,2026-04-26,Processo,Investigação de desvio em meta,TODO,urgente,Ana Silva,01/07,não faz sentido no contexto atual
182,2026-05-08,QLD,,Em andamento,M,João P.,19/07,esperando ok da diretoria
183,11/07/26,gente,Auditoria interna de segurança,Fechado,A,Isabel R.,,auditoria externa pergunta sobre isso
184,03/06/26,Segurança,Padronizar registro de comunicado,aberta,Baixa,Leo Batista,2026-06-30,esperando resposta do RH
185,05/06/2026,meta,Preparar apresentação sobre meta,aberta,alta,?,2026-06-25,urgente segundo o gerente
186,09/07/2026,Produtividade,Alinhamento com liderança sobre meta,Novo,urgente,todos,21/07/2026,
187,05/05/2026,EPI,Auditoria interna de reunião,Done,B,Ana Silva,19-06-2026,TI ainda não liberou
188,10/06/26,PROD,Comunicar mudança de meta pro time,Fechado,crítica,Eduarda Santos,26-07-2026,
189,04/05/2026,Preventiva,Reunião com fornecedor de ferramenta,Feito,ALTA,Nubia Costa,2026-08-13,auditoria externa pergunta sobre isso
190,23/05/26,Metas,Investigação de desvio em qualidade,WIP,urgente,Sabrina T.,24/06,risco de multa se não fechar
191,08/05/26,Controle Qualidade,Treinamento de segurança pra equipe,Fechado,Alta,a definir,12/09,não faz sentido no contexto atual
192,30/06/2026,Objetivo,Escalar problema de comunicado pro gerente,Encerrado,Alta,?,,cliente reclamou disso semana passada
193,23/05/26,CQ,Investigação de desvio em plano de ação,progresso,ALTA,Paula V.,25-08-2026,urgente segundo o gerente
194,15-07-2026,SEG. TRABALHO,Revisar procedimento de briefing conforme reunião,Aberto,Média,Leo Batista,06-09-2026,
195,23/04/2026,EPI,Trocar suporte técnico vencido na área,Encerrado,urgente,Leo Batista,20/07/2026,impacto direto no OEE do turno
196,01/05/2026,Objetivo,Verificar histórico de qualidade,Aberto,,Leo Batista,2026-07-17,movi pra próxima semana
197,30-06-2026,Metas,Ajuste no cronograma semanal,Novo,urgente,João P.,29/07,risco de multa se não fechar
198,2026-06-22,produtividade,Feedback pra equipe sobre apresentação,Aberto,,Sabrina T.,2026-08-20,
199,08-07-2026,EPI,Comunicar mudança de inspeção pro time,Em andamento,crítica,Bruno Alves,,TI ainda não liberou
200,2026-06-04,Instrução Trabalho,Documentar procedimento de manutenção,Novo,B,Ana Silva,,cliente reclamou disso semana passada
201,02/06/26,produtividade,Comunicar mudança de planilha pro time,aberta,crítica,Eduarda Santos,30/08,duplicado com outra linha?
202,15-07-2026,Produção,Ficou de trazer checklist na próxima reunião,aberta,ALTA,todos,2026-08-30,impacto direto no OEE do turno
203,2026-04-19,Indicador,Comunicar mudança de planilha pro time,Aberto,Média,time,23/06/2026,não faz sentido no contexto atual
204,25/06/26,MTN,Follow-up com diretoria sobre reunião,Feito,B,Ana Silva,2026-08-27,não faz sentido no contexto atual
205,31-05-2026,Metas,Follow-up com diretoria sobre processo,concluido,ALTA,Ana Silva,2026-07-18,"só depende de mim, sem justificativa"
206,2026-06-30,Manutenção,Follow-up com fornecedor sobre comunicado,Novo,,Ana Silva,02/09/2026,urgente segundo o gerente
207,10/06/2026,Seg,Pendente aprovação da diretoria sobre follow-up,Done,Baixa,Bruno Alves,25/07/2026,
208,2026-04-23,Manutenção,Padronizar registro de inspeção,WIP,B,Tiago Alves,2026-07-27,revisar após mudança de escala
209,08/06/26,seg.,Ajuste no cronograma semanal,WIP,crítica,Tiago Alves,02-07-2026,
210,04/05/2026,meta,Análise da NC #286,A fazer,crítica,Osmar D.,,"só depende de mim, sem justificativa"
211,01/06/26,Preventiva,Revisar procedimento de plano de ação conforme reunião,A fazer,urgente,Osmar D.,05/09,revisar após mudança de escala
212,2026-04-25,Qualidade,Revisar procedimento de follow-up conforme reunião,OK,B,Felipe Costa,15/08,
213,09-07-2026,RH,Pendente aprovação da diretoria sobre treinamento,OK,B,time,10/07,envolve 2 áreas — precisa alinhar
214,06/06/26,Preventiva,Reagendar reunião de apresentação,OK,A,Carla Souza,05/07/2026,auditoria externa pergunta sobre isso
215,2026-05-30,proc.,Comunicar mudança de planilha pro time,Novo,A,Vanessa L.,05/07/2026,impacto direto no OEE do turno
216,26/05/26,Qualidade,Escalar problema de relatório pro gerente,Novo,ALTA,Eduarda Santos,06-07-2026,envolve 2 áreas — precisa alinhar
217,20-04-2026,MTC,Pendente aprovação da diretoria sobre relatório,Aberto,B,Diego Lima,,TI ainda não liberou
218,25-04-2026,Produção,Pendente aprovação da diretoria sobre auditoria,Concluído,A,Vanessa L.,2026-08-12,movi pra próxima semana
219,2026-07-07,meta,Análise da NC #442,Feito,ALTA,João P.,04-07-2026,conversamos na daily de segunda
220,2026-05-01,manut.,Alinhamento com liderança sobre processo,aberta,M,Osmar D.,06/09/2026,pode ser reunião de 15min
221,13/06/2026,Processo,Ajuste no cronograma semanal,Encerrado,alta,todos,14-08-2026,impacto direto no OEE do turno
222,23/06/2026,Manutenção,Feedback pra equipe sobre plano de ação,Feito,crítica,Henrique M.,12/07,auditoria externa pergunta sobre isso
223,24-06-2026,Produção,Pendente aprovação da diretoria sobre meta,A fazer,urgente,time,03/09/2026,
224,17-07-2026,SOP,Comunicar mudança de checklist pro time,concluido,Alta,Nubia Costa,13/09/2026,movi pra próxima semana
225,09-06-2026,EPI,Pendente aprovação da diretoria sobre auditoria,Em andamento,alta,Felipe Costa,11-07-2026,
226,2026-06-01,Qualidade,Fechamento de processo do mês anterior,Aberto,urgente,Tiago Alves,21/08/2026,
227,11/06/26,Corretiva,Escalar problema de comunicado pro gerente,Em andamento,urgente,Osmar D.,,movi pra próxima semana
228,29/04/2026,CQ,Alinhamento com liderança sobre plano de ação,Em andamento,A,Sabrina T.,23-07-2026,esperando resposta do RH
229,16/06/2026,Processo,Feedback pra equipe sobre processo,andamento,ALTA,Gabi Ferreira,05/08,esperando resposta do RH
230,2026-06-02,Seg,Auditoria interna de inspeção,TODO,ALTA,Leo Batista,30/06,envolve 2 áreas — precisa alinhar
231,18/07/26,Objetivo,Reunião com fornecedor de suporte técnico,Aberto,alta,Bruno Alves,,risco de multa se não fechar
232,25/04/2026,Indicador,Pendente aprovação da diretoria sobre comunicado,concluido,Média,Ricardo N.,,conversamos na daily de segunda
233,18-07-2026,OEE,Reunião com fornecedor de EPI,Aberto,Alta,Sabrina T.,,esperando ok da diretoria
234,29/06/26,PROD,Investigação de desvio em checklist,Novo,Média,time,10/08,impacto direto no OEE do turno
235,23/05/2026,Target,Aguardando retorno de fornecedor sobre planilha,Novo,Baixa,Paula V.,2026-08-17,"só depende de mim, sem justificativa"
236,2026-06-15,Preventiva,Trocar documento vencido na área,Em andamento,Baixa,Ricardo N.,03/07,TI ainda não liberou
237,2026-05-28,QLD,Fechamento de checklist do mês anterior,concluido,urgente,Felipe Costa,26/08,risco de multa se não fechar
238,,,,,,,,
239,21/05/26,SOP,Comunicar mudança de follow-up pro time,Fechado,ALTA,Leo Batista,30/07/2026,
240,12/05/2026,Gestão de pessoas,Documentar procedimento de checklist,aberta,alta,Marcos T.,19/08,
